
"sperare","vi. ; avere sperato"
"spezzare","vt. (rompere) to break; avere spezzato"
"spezzarsi","vr. (rompersi) to break; essersi spezzato"
"spiegare","vt. (far capire) to explain; (tovaglia, cartina) to unfold; (ali, vele) to spread; MIL (truppe) to deploy; avere spiegato"
"spiegarsi","vr. (chiarirsi) to explain (oneself), (con un'altra persona) to sort things out; essersi spiegato"
"spingere","vt. <spingo> (spostare) to push; (premere) to press; (fare ressa) to push and shove; avere spinto"
"spingersi","vr. <spingo> (inoltrarsi) to go on; essersi spinto"
"spogliare","vt. (svestire) to undress; (derubare) to strip; avere spogliato"
"spogliarsi","vr. (svestirsi) to undress; essersi spogliato"
"sposare","vt. (gener) to marry; (dare in moglie o marito) to marry (off); (causa, lavoro) to be wedded to; avere sposato"
"sposarsi","vr. ; essersi sposato"
"sprecare","vt. (tempo, denaro) to waste; avere sprecato"
"sprecarsi","vr. to exert oneself; essersi sprecato"
"sprigionare","vt. (emettere) to give off; avere sprigionato"
"sprigionarsi","vr. (uscire: calore, fumo) to come out of; essersi sprigionato"
"sprofondare","vi. (pavimento, casa) to collapse; (affondare) to sink; essere sprofondato"
"sprofondarsi","vr. (lasciarsi andare) to collapse; (immergersi) to bury oneself; essersi sprofondato"
"squillare","vi. (trombe) to sound; (telefono, campanello) to ring; essere squillato"
"sradicare","vt. (pianta) to uproot; (vizio, male) to root out; avere sradicato"
"stabilire","vt. <stabilisco> (dimora, sede) to set up; (decidere) to establish; avere stabilito"
"stabilirsi","vr. <stabilisco> (prendere dimora) to set up home; essersi stabilito"
"stabilire","vt. <stabilisco> (dimora, sede) to set up; (decidere) to establish; avere stabilito"
"stabilirsi","vr. <stabilisco> (prendere dimora) to set up home; essersi stabilito"
"staccare","vt. (francobollo, etichetta) to remove; (quadro) to take down, (bottone) to take off; RAIL (vagone) to detach; (assegno, ricevuta) to write; SPORTS to outdistance; (parole, sillabe) to articulate; avere staccato"
"staccare","vi. (finire di lavorare) to knock off; avere staccato"
"staccarsi","vr. (allontanarsi) to detach oneself; essersi staccato"
"stare","vi. <sto> (restare) to stay; (trovarsi) to be; (abitare) to live; (di salute) to be; (colore, indumento) to suit; (resistere) to take; (entrarci) to fit; essere stato"
"stentare","vi. (faticare) to have difficulty; avere stentato"
"stimare","vt. COMM to value; (persona) to esteem; avere stimato"
"stordire","vt. <stordisco> (provocare confusione) to daze facevano male le orecchie; avere stordito"
"stordirsi","vr. <stordisco> (ubriacarsi) to get drunk <span class=explanation"">in order to forget one&#39;s sorrows</span>; essersi stordito"""
"stramazzare","vi. (cadere) to collapse; essere stramazzato"
"strappare","vt. (ramo, fiore) to break off, (pagina) to tear out, (carta) to tear up; (cuore) to break, (promessa, confessione) to extract; avere strappato"
"strapparsi","vr. (lacerarsi) to break; essersi strappato"
"stregare","vt. to bewitch; avere stregato"
"stregare","vt. to bewitch; avere stregato"
"stringere","vt. <stringo> (serrare) to squeeze (together); (vite) to tighten; (denti, pugni) to clench; (vestito) to take in; (riassumere) to condense; avere stretto"
"stringersi","vr. <stringo> ; essersi stretto"
"studiare","vt. (per imparare qc) to study; (esaminare, indagare) to examine; (parole, mosse) to weigh; avere studiato"
"studiarsi","vr. (osservarsi) to weigh each other up; essersi studiato"
"stupire","vt. <stupisco> (meravigliare) to amaze; essere stupito"
"stupirsi","vr. <stupisco> (meravigliarsi) to be amazed; essersi stupito"
"subire","vt. <subisco> (ingiuria, danni, conseguenze) to suffer; avere subito"
"succedere","vi. <succedo> (avvenire) to happen; essere successo"
"succedersi","vr. <succedo> (susseguirsi) to follow one another; essersi successo"
"sudare","vi. to sweat; avere sudato"
"sudare","vt. ; avere sudato"
"suggerire","vt. <suggerisco> THEAT to prompt; (consigliare) to suggest; avere suggerito"
"suonare","vt. MUS to play; (orologio) to strike, (campana, campanello) to ring; essere suonato"
"suonare","vi. (campana, telefono) to ring, (sveglia) to go off; MUS to play; (parole, frasi) to sound; essere suonato"
"supporre","vt. to suppose; avere"
"suscitare","vt. (reazione, odio, entusiasmo) to arouse; avere suscitato"
"svanire","vi. <svanisco> to disappear; essere svanito"
"svegliare","vt. (dal sonno) to wake (up); (animare: persone) to liven up; (suscitare: emozioni) to awaken; avere svegliato"
"svegliarsi","vr. to wake up; essersi svegliato"
"svegliare","vt. (dal sonno) to wake (up); (animare: persone) to liven up; (suscitare: emozioni) to awaken; avere svegliato"
"svegliarsi","vr. to wake up; essersi svegliato"
"svelare","vt. (segreto, verità) to reveal; avere svelato"
"svenire","vi. to faint; essere svenito"
"sviscerare","vt. (argomento, questione) to analyze in depth; avere sviscerato"
"svolgere","vt. (gomitolo) to unwind; (idea, tema) to set out, (programma, piano) to carry out; (lavoro) to do; avere svolguto"
"svolgersi","vr. (accadere) to happen; THEAT, LIT to be set; essersi svolguto"
"svuotare","vt. (vuotare) to empty; avere svuotato"
"tacere","vt. <taccio> (non rivelare) to say nothing about; avere taciuto"
"tacere","vi. <taccio> (stare in silenzio) to be quiet, (non opporsi) to keep quiet; (non eprimersi, non riferire) to keep silent; avere taciuto"
"tagliare","vt. (gener) to cut, (albero) to cut down; (in parti) to cut up; (staccare con un taglio) to cut off; (vino) to blend; (attraversare) to cut across; avere tagliato"
"tagliare","vi. (percorrere la via più breve) cut through; avere tagliato"
"tenere","vt. <tengo> (in mano, in braccio) to hold, (non lasciar sfuggire) to hold onto; (mantenere) to keep; (contenere) to hold; (discorso, conferenza) to give, (riunione) to hold; (occupare) to take up, (dominare) to hold; avere tenuto"
"tenere","vi. <tengo> (reggere: scaffale) to hold up, (colla) to stick; avere tenuto"
"tenersi","vr. <tengo> (reggersi) to hold on; (mantenersi) to keep; (trattenersi) to keep oneself; essersi tenuto"
"tentare","vt. (provare) to try; (allettare) to tempt; avere tentato"
"tentare","vt. (provare) to try; (allettare) to tempt; avere tentato"
"tentare","vt. (provare) to try; (allettare) to tempt; avere tentato"
"tifare","vi. ; avere tifato"
"tirare","vt. (carro) to pull, (cassetto) to open, (tenda) to draw; (fune) to stretch; (dente) to take out; (linea) to trace; (lanciare) to throw; (sparare: colpo) to fire; (dare) to give; (stampare) to print; avere tirato"
"tirare","vi. to pull; (vento) to blow; (abito) to be tight; (camino) to draw; (sparare) to shoot; avere tirato"
"toccare","vt. (gener) to touch; (tasto) to touch; (giungere) to reach; (argomento) to touch on; (commuovere) to touch; (riguardare) to concern; essere toccato"
"toccare","vi. (nei giochi) it&#39;s my/your turn; essere toccato"
"togliere","vt. <tolgo> (rimuovere) to take away, (dente) to take out, (vestito, cappello) to take off; (privare di: diritto) to withdraw; (divieto) to remove; avere tolto"
"togliersi","vr. <tolgo> to remove oneself; essersi tolto"
"tollerare","vt. (sopportare, ammettere) to tolerate; (reggere a: freddo, alcolici) to take; avere tollerato"
"tornare","vi. (venire di nuovo) to come back, (andare di nuovo) to go back; (ridiventare) to become again; essere tornato"
"traboccare","vi. (liquido) to overflow; (recipiente) to overflow; avere traboccato"
"tracciare","vt. (linea, quadrato) to draw; (strade, ferrovie) to mark out; (discorso, lettera) to draft; avere tracciato"
"tradire","vt. <tradisco> (gener) to betray; (coniuge) to cheat on; (promessa, patto) to break; avere tradito"
"tradirsi","vr. <tradisco> to give oneself away; essersi tradito"
"tradurre","vt. <traduco> (testo) to translate; (sentimento) to put into words; (detenuti) to transfer; avere tradotto"
"trafiggere","vt. <trafiggo> to pierce; avere trafitto"
"tramandare","vt. to hand down; avere tramandato"
"tranquillizzare","vt. to reassure; avere tranquillizzato"
"trascinare","vt. (tirare) to drag; (oratore, entusiasmo) to enthuse; avere trascinato"
"trascinarsi","vr. (persona) to drag oneself; (faccenda, questione) to drag on; essersi trascinato"
"trascorrere","vt. (vacanze, giornata) to spend; essere trascorruto"
"trascorrere","vi. (tempo) to pass; essere trascorruto"
"trasferire","vt. <trasferisco> (gener) to transfer; (cosa) to transport; avere trasferito"
"trasferirsi","vr. <trasferisco> to move; essersi trasferito"
"trasmettere","vt. (diritto, malattia, notizia) to pass on, (eredità) to hand down; (ordine) to give, (lettera, dati) to send; RADIO, TV to broadcast; avere trasmettuto"
"trasmettere","vi. to broadcast; avere trasmettuto"
"trasmettersi","vr. (eredità) to be handed down; (malattia, virus) to be spread; essersi trasmettuto"
"trattare","vt. (gener) to treat; (argomento, pratica) to deal with; (affare, compravendita) to negotiate; COMM (articoli) to sell; avere trattato"
"trattare","vi. ; avere trattato"
"trattarsi","vr. to treat oneself; essersi trattato"
"trattare","vt. (gener) to treat; (argomento, pratica) to deal with; (affare, compravendita) to negotiate; COMM (articoli) to sell; avere trattato"
"trattare","vi. ; avere trattato"
"trattarsi","vr. to treat oneself; essersi trattato"
"trattenere","vt. (far rimanere: in ospedale) to keep, (in questura) to detain; (non dare) to withhold; (detrarre: somma) to deduct; (riso, pianto) to keep back, (trattenere il fiato) to hold one&#39;s breath; avere trattenuto"
"trattenersi","vr. (astenersi) to help oneself; (fermarsi) to stay; essersi trattenuto"
"travolgere","vt. (trascinare via) to sweep away, (con veicolo) to run over; (sentimento) to overwhelm; avere travolguto"
"tremare","vi. (fiamma, terra) to shake; (persona, voce) to tremble; avere tremato"
"trovare","vt. (gener) to find; (pensare) to think; avere trovato"
"trovarsi","vr. (essere) to be; (incontrarsi) to meet; essersi trovato"
"turbare","vt. (cerimonia, svolgimento) to disrupt; (pace, rapporto) to disturb; (persona) to upset; avere turbato"
"turbarsi","vr. (agitarsi) to get upset; essersi turbato"
"ubbidire","vi. to obey; avere ubbidito"
"uccidere","vt. to kill; avere ucciduto"
"uccidersi","vr. (suicidarsi) to kill oneself; (vicendevolmente) to kill each other; (perdere la vita) to be killed; essersi ucciduto"
"ultimare","vt. (finire: lavoro, opera, cottura) to complete; avere ultimato"
"umiliare","vt. (offendere) to humiliate; avere umiliato"
"umiliarsi","vr. (abbassarsi) to humiliate oneself; essersi umiliato"
"unire","vt. <unisco> (collegare: fili, cavi, tessuti) to join; (aggiungere) to add; (allegare) to enclose; (persone) to unite; avere unito"
"unirsi","vr. <unisco> (legarsi) to be united; (associarsi) to join together; essersi unito"
"unire","vt. <unisco> (collegare: fili, cavi, tessuti) to join; (aggiungere) to add; (allegare) to enclose; (persone) to unite; avere unito"
"unirsi","vr. <unisco> (legarsi) to be united; (associarsi) to join together; essersi unito"
"urlare","vi. (persona, scimmia) to scream; (parlare forte) to shout; (vento) to howl; avere urlato"
"urlare","vt. (dire a voce alta) to shout; (cantare a voce alta) to belt out; avere urlato"
"usare","vt. (adoperare, impiegare) to use; (vestiti) to wear; essere usato"
"usare","vi. (essere di moda) to be fashionable; (impersonale) to be the custom; avere usato"
"uscire","vi. <esco> (gener) to come out, (andare fuori, per svago) to go out, (da veicolo, carcere, ospedale) to get out; (da situazione) to emerge; COMPUT to quit; essere uscito"
"vacillare","vi. (barcollare: persona) to stagger; (oscillare: cosa) to wobble, (fiamma) to flicker; (governo, impero) to totter; (persona, sentimento) to waver; avere vacillato"
"vagabondare","vi. (fare il vagabondo) to live as a vagrant; (girovagare) to wander; avere vagabondato"
"vagheggiare","vt. (successo, vittoria) to long for; avere vagheggiato"
"valere","vi. <valgo> (essere capace) to be good; (avere efficacia: legge) to be valid, (norma) to apply; (essere valido) to be valid; (costare) to be worth; (essere uguale a) to be the same as; essere valso"
"valere","vt. <valgo> (rendere) to earn; (procurare) to earn; essere valso"
"valersi","vr. <valgo> ; essersi valso"
"valutare","vt. COMM (stimare) to value; (calcolare) to estimate; (apprezzare: capacità, qualità, azione) to value; (esaminare: conseguenze) to evaluate; (a scuola, nei concorsi) to mark; avere valutato"
"varcare","vt. (oltrepassare: fiume, confine, soglia) to cross; (superare: limite) to overstep, (età) to pass; avere varcato"
"variare","vt. (modifica) (modificare: data, programma) to change; (diversificare: alimentazione) to vary; MUS to vary on; avere variato"
"variare","vi. (subire cambiamenti) to vary; essere variato"
"vedere","vt. <vedo> (gener) to see; (visitare: museo, mostra) to visit; (esaminare: giornale, legge, questione) to look at; avere visto [o veduto]"
"vedere","vi. <vedo> (possedere la vista) ; essere visto [o veduto]"
"vedersi","vr. <vedo> (vedere se stessi) to see oneself; (incontrarsi, frequentarsi) to see (one another); (riconoscersi) to see oneself; (trovarsi in una situazione) to be; essersi visto [o veduto]"
"vegliare","vt. (assistere: malato, morto) to keep vigil for; avere vegliato"
"vegliare","vi. (restare sveglio) to keep vigil; (stare attenti) to keep a watch; avere vegliato"
"vendere","vt. (smerciare) to sell; (tradire) to sell out; avere venduto"
"vendersi","vr. to sell oneself; essersi venduto"
"venire","vi. <vengo> (gener) to come; (uscire: liquido) to come out; (cadere: pioggia, neve) to fall; (alla mente) to occur; (ricordare) to remember; (riuscire) to turn out (well); (risultare: numero) to come to, (nel lotto, nella tombola) to come up; (costare) to come to; (spettare) to come out; (nascere) to arrive; (crescere: pianta) to come up; (con participio passato) to be; essere venuto"
"venirsi","vr. <vengo> ; essersi venuto"
"vergognarsi","vr. (essere mortificato) to be ashamed; (imbarazzarsi) to be embarrassed; (essere timido) to be shy; essersi vergognato"
"verificare","vt. (provare: qualità, funzionamento) to test, (documento, firma, affermazione) to check, (bilancio, conto) to audit; (nella scienza: convalidare) to confirm; avere verificato"
"verificarsi","vr. (accadere: fatto) to happen; (avverarsi: ipotesi, previsione) to prove to be true; essersi verificato"
"versare","vt. (liquido, farina, zucchero) to pour; (spandere) to spill; (soldi) to deposit; avere versato"
"versare","vi. (essere, trovarsi) to be; avere versato"
"versarsi","vr. (spargersi, rovesciarsi addosso) to spill; (fiume) to flow; essersi versato"
"vestire","vt. (abbigliare) to dress; (fornire di vestiti) to clothe; (indossare: abito, uniforme, taglia) to wear; (cadere) to fit; avere vestito"
"vestire","vi. (abbigliarsi in un certo modo) to dress; avere vestito"
"vestirsi","vr. (abbigliarsi) to get dressed; (abbigliarsi in un certo modo) to dress; essersi vestito"
"viaggiare","vi. (persona, treno, merce) to travel; (come professione) to be a traveling salesperson; (fantasticare) to travel; avere viaggiato"
"viaggiare","vt. (percorrere) to travel; avere viaggiato"
"vietare","vt. (proibire) to prohibit; avere vietato"
"vincere","vt. <vinco> (superare: nemico, avversario) to beat; (guerra, concorso) to win; (ottenere: premio) to win, (posto, cattedra) to obtain; (superare: difficoltà, timidezza) to overcome; avere vinto"
"vincere","vi. <vinco> (prevalere) to win; avere vinto"
"vincersi","vr. <vinco> (dominarsi) to control oneself; essersi vinto"
"visitare","vt. (medico) to examine; (luogo: città, museo) to visit; (andare a trovare: amici, parenti) to visit with; (ispezionare) to inspect; avere visitato"
"vivere","vi. <vivo> (gener) to live; (durare, sopravvivere) to live on; essere vissuto"
"vivere","vt. <vivo> (condurre: vita) to lead; (passare) to live through; (sentire: dolore, gioia, fede) to live through; (parte, personaggio) to live; (godere) to enjoy; essere vissuto"
"volare","vi. (gener) to fly; (piuma, foglia, polvere) to fly around; (precipitare) to fall; (correre) to fly along; (diffondersi: notizia, diceria, calunnia) to travel fast; (tempo) to fly by; essere volato"
"volere","vt. <voglio> (intenzione, desiderio) to want; (decidere: potenza superiore) to will; (prescrivere: legge, regolamento) to demand; (richiedere) to require; LING (reggere) to take; avere voluto"
"volersi","vr. <voglio> ; essersi voluto"
"votare","vt. (sottoporre a voto: legge, delibera, emendamento) to vote on; (approvare: legge) to pass; (sostenere con voto: candidato, partito) to vote for; (consacrare, dedicare) to devote; avere votato"
"votare","vi. (partecipare al voto) to vote; avere votato"
"votarsi","vr. REL (offrirsi) to devote oneself; (dedicarsi) to dedicate oneself; essersi votato"
"zoppicare","vi. (persona) to limp; (periodo) to lose its rhythm, (ragionamento) to be full of holes; avere zoppicato"
